rfid_uid,Book Number ,Title,Author ,Ed./Vol.,Publisher place,Publisher,Year,Page(s),Class No.,Programme/ Dicipline,,,,Withdrawn Date,Remarks,ISBN /ISSN,Subject,Text/Reference,"Depriciated value
(Till 01-04-2022)"
FA7819C1,B001,Advanced Engineering Mathematics,"Kreyszing, Erwin",10th,New Delhi, Willey India Pvt. Ltd. India Pvt. Ltd,2015,xv; 1001; A1-97; I1-27,510.2462 KRE,Mathematics,,,,,,9.78813E+12,Mathematics,,
,B002,Advanced Engineering Mathematics,"Kreyszing, Erwin",10th,New Delhi, Willey India Pvt. Ltd. India Pvt. Ltd,2015,xv; 1001; A1-97; I1-27,510.2462 KRE,Mathematics,,,,,,9.78813E+12,Mathematics,,
,B003,Advanced Engineering Mathematics,"Kreyszing, Erwin",10th,New Delhi, Willey India Pvt. Ltd. India Pvt. Ltd,2015,xv; 1001; A1-97; I1-27,510.2462 KRE,Mathematics,,,,,,9.78813E+12,Mathematics,,
,B004,Advanced Engineering Mathematics,"Kreyszing, Erwin",10th,New Delhi, Willey India Pvt. Ltd. India Pvt. Ltd,2015,xv; 1001; A1-97; I1-27,510.2462 KRE,Mathematics,,,,,,9.78813E+12,Mathematics,,
,B005,Advanced Engineering Mathematics,"Kreyszing, Erwin",10th,New Delhi, Willey India Pvt. Ltd. India Pvt. Ltd,2015,xv; 1001; A1-97; I1-27,510.2462 KRE,Mathematics,,,,,,9.78813E+12,Mathematics,,
A432859A,B006,"Calculus : Vol: I One Variable Calculus, with an Introduction to Linear Algebra","Apostol, Tom M",I,New Delhi, Willey India Pvt. Ltd. India Pvt. Ltd,2015,xx; 666,515 APO,Mathematics,,,,,,9.78813E+12,Mathematics,,
,B007,"Calculus : Vol: I One Variable Calculus, with an Introduction to Linear Algebra","Apostol, Tom M",I,New Delhi, Willey India Pvt. Ltd. India Pvt. Ltd,2015,xx; 666,515 APO,Mathematics,,,,,,9.78813E+12,Mathematics,,
,B008,"Calculus : Vol: I One Variable Calculus, with an Introduction to Linear Algebra","Apostol, Tom M",I,New Delhi, Willey India Pvt. Ltd. India Pvt. Ltd,2015,xx; 666,515 APO,Mathematics,,,,,,9.78813E+12,Mathematics,,
,B009,"Calculus : Vol: I One Variable Calculus, with an Introduction to Linear Algebra","Apostol, Tom M",I,New Delhi, Willey India Pvt. Ltd. India Pvt. Ltd,2015,xx; 666,515 APO,Mathematics,,,,,,9.78813E+12,Mathematics,,
,B010,"Calculus : Vol: I One Variable Calculus, with an Introduction to Linear Algebra","Apostol, Tom M",I,New Delhi, Willey India Pvt. Ltd. India Pvt. Ltd,2015,xx; 666,515 APO,Mathematics,,,,,,9.78813E+12,Mathematics,,
,B011,"Calculus : Vol: II Multi-Variable Calculus and Linear Albegra, with Applications to Differential Equatations and Probability","Apostol, Tom M",II,New Delhi, Willey India Pvt. Ltd. India Pvt. Ltd,2014,xxi; 673,515 APO,Mathematics,,,,,,9.78813E+12,Mathematics,,
,B012,"Calculus : Vol: II Multi-Variable Calculus and Linear Albegra, with Applications to Differential Equatations and Probability","Apostol, Tom M",II,New Delhi, Willey India Pvt. Ltd. India Pvt. Ltd,2014,xxi; 673,515 APO,Mathematics,,,,,,9.78813E+12,Mathematics,,
,B013,"Calculus : Vol: II Multi-Variable Calculus and Linear Albegra, with Applications to Differential Equatations and Probability","Apostol, Tom M",II,New Delhi, Willey India Pvt. Ltd. India Pvt. Ltd,2014,xxi; 673,515 APO,Mathematics,,,,,,9.78813E+12,Mathematics,,
